GUAIRAPR;PR;Guaira;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
IBITINGASP;SP;Ibitinga;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
INOCENCIAMS;MS;Inocencia;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
ITAITUBAPA;PA;Itaituba;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
ITUMBIARAGO;GO;Itumbiara;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
ITURAMAMG;MG;Iturama;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
IVINHEMAMS;MS;Ivinhema;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
JUSSARAPR;PR;Jussara;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
JUTIMS;MS;Juti;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
MARACAJUMS;MS;Maracaju;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
NAVIRAIMS;MS;Navirai;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
PANORAMASP;SP;Panorama;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
PARDOPK214MS;MS;Santa Rita do Pardo;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
PEREIRA BARRETOSP;SP;Pereira Barreto;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
PEDERNEIRASSP;SP;Pederneiras;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
PORTO RICOPR;PR;Porto Rico;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
PORTO VELHORO;RO;Porto Velho;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;1.106
PRESIDENTE EPITACIOSP;SP;Presidente Epitacio;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
RIO BRILHANTEMS;MS;Rio Brilhante;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
ROSANASP;SP;Rosana;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
SABINOSP;SP;Sabino;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
SANTA HELENAPR;PR;Santa Helena;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
SAO SIMAOGO;GO;Sao Simao;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
SUCURIUPK170MS;MS;Alto Sucuriu;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
TEODORO SAMPAIOSP;SP;Teodoro Sampaio;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
TRES LAGOASMS;MS;Tres Lagoas;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
UBARANASP;SP;Ubarana;ITACOATIARAAM;SP;Itacoatiara;Itacoatiara;0
APARECIDA DO TABOADOMS;MS;Aparecida do Taboado;JATAIZINHOPR;SP;Jataizinho;Jataizinho;699
AGUA CLARAMS;MS;Agua Clara;JATAIZINHOPR;SP;Jataizinho;Jataizinho;529
AMAMBAIPK183MS;MS;Amambai;JATAIZINHOPR;SP;Jataizinho;Jataizinho;623
ANHEMBISP;SP;Anhembi;JATAIZINHOPR;SP;Jataizinho;Jataizinho;0
ARACATUBASP;SP;Aracatuba;JATAIZINHOPR;SP;Jataizinho;Jataizinho;740
ARAGUARIMG;MG;Araguari;JATAIZINHOPR;SP;Jataizinho;Jataizinho;1.146
BARCARENAPA;PA;Barcarena;JATAIZINHOPR;SP;Jataizinho;Jataizinho;0
BARRA BONITASP;SP;Barra Bonita;JATAIZINHOPR;SP;Jataizinho;Jataizinho;0
BOISPK175GO;GO;Inaciolandia;JATAIZINHOPR;SP;Jataizinho;Jataizinho;1.026
BORBOREMASP;SP;Borborema;JATAIZINHOPR;SP;Jataizinho;Jataizinho;654
BURITAMASP;SP;Buritama;JATAIZINHOPR;SP;Jataizinho;Jataizinho;0
CASTELANDIAGO;GO;Castelandia;JATAIZINHOPR;SP;Jataizinho;Jataizinho;925
EUCLIDES DA CUNHA PAULISTASP;SP;Euclides da Cunha Paulista;JATAIZINHOPR;SP;Jataizinho;Jataizinho;0
GUAIRAPR;PR;Guaira;JATAIZINHOPR;SP;Jataizinho;Jataizinho;531
IBITINGASP;SP;Ibitinga;JATAIZINHOPR;SP;Jataizinho;Jataizinho;965
INOCENCIAMS;MS;Inocencia;JATAIZINHOPR;SP;Jataizinho;Jataizinho;704
ITAITUBAPA;PA;Itaituba;JATAIZINHOPR;SP;Jataizinho;Jataizinho;0
ITUMBIARAGO;GO;Itumbiara;JATAIZINHOPR;SP;Jataizinho;Jataizinho;1.074
ITURAMAMG;MG;Iturama;JATAIZINHOPR;SP;Jataizinho;Jataizinho;0
IVINHEMAMS;MS;Ivinhema;JATAIZINHOPR;SP;Jataizinho;Jataizinho;488
JUSSARAPR;PR;Jussara;JATAIZINHOPR;SP;Jataizinho;Jataizinho;647
JUTIMS;MS;Juti;JATAIZINHOPR;SP;Jataizinho;Jataizinho;546
MARACAJUMS;MS;Maracaju;JATAIZINHOPR;SP;Jataizinho;Jataizinho;765
NAVIRAIMS;MS;Navirai;JATAIZINHOPR;SP;Jataizinho;Jataizinho;526
PANORAMASP;SP;Panorama;JATAIZINHOPR;SP;Jataizinho;Jataizinho;513
PARDOPK214MS;MS;Santa Rita do Pardo;JATAIZINHOPR;SP;Jataizinho;Jataizinho;678
PEREIRA BARRETOSP;SP;Pereira Barreto;JATAIZINHOPR;SP;Jataizinho;Jataizinho;734
PEDERNEIRASSP;SP;Pederneiras;JATAIZINHOPR;SP;Jataizinho;Jataizinho;0
PORTO RICOPR;PR;Porto Rico;JATAIZINHOPR;SP;Jataizinho;Jataizinho;0
PORTO VELHORO;RO;Porto Velho;JATAIZINHOPR;SP;Jataizinho;Jataizinho;0
PRESIDENTE EPITACIOSP;SP;Presidente Epitacio;JATAIZINHOPR;SP;Jataizinho;Jataizinho;455
RIO BRILHANTEMS;MS;Rio Brilhante;JATAIZINHOPR;SP;Jataizinho;Jataizinho;665
ROSANASP;SP;Rosana;JATAIZINHOPR;SP;Jataizinho;Jataizinho;343
SABINOSP;SP;Sabino;JATAIZINHOPR;SP;Jataizinho;Jataizinho;782
SANTA HELENAPR;PR;Santa Helena;JATAIZINHOPR;SP;Jataizinho;Jataizinho;0
SAO SIMAOGO;GO;Sao Simao;JATAIZINHOPR;SP;Jataizinho;Jataizinho;851
SUCURIUPK170MS;MS;Alto Sucuriu;JATAIZINHOPR;SP;Jataizinho;Jataizinho;767
TEODORO SAMPAIOSP;SP;Teodoro Sampaio;JATAIZINHOPR;SP;Jataizinho;Jataizinho;220
TRES LAGOASMS;MS;Tres Lagoas;JATAIZINHOPR;SP;Jataizinho;Jataizinho;590
UBARANASP;SP;Ubarana;JATAIZINHOPR;SP;Jataizinho;Jataizinho;0
APARECIDA DO TABOADOMS;MS;Aparecida do Taboado;BARCARENAPA;PA;Barcarena;Barcarena;0
AGUA CLARAMS;MS;Agua Clara;BARCARENAPA;PA;Barcarena;Barcarena;0
AMAMBAIPK183MS;MS;Amambai;BARCARENAPA;PA;Barcarena;Barcarena;0
ANHEMBISP;SP;Anhembi;BARCARENAPA;PA;Barcarena;Barcarena;0
ARACATUBASP;SP;Aracatuba;BARCARENAPA;PA;Barcarena;Barcarena;0
ARAGUARIMG;MG;Araguari;BARCARENAPA;PA;Barcarena;Barcarena;0
BARCARENAPA;PA;Barcarena;BARCARENAPA;PA;Barcarena;Barcarena;0
BARRA BONITASP;SP;Barra Bonita;BARCARENAPA;PA;Barcarena;Barcarena;0
BOISPK175GO;GO;Inaciolandia;BARCARENAPA;PA;Barcarena;Barcarena;0
BORBOREMASP;SP;Borborema;BARCARENAPA;PA;Barcarena;Barcarena;0
BURITAMASP;SP;Buritama;BARCARENAPA;PA;Barcarena;Barcarena;0
CASTELANDIAGO;GO;Castelandia;BARCARENAPA;PA;Barcarena;Barcarena;0
EUCLIDES DA CUNHA PAULISTASP;SP;Euclides da Cunha Paulista;BARCARENAPA;PA;Barcarena;Barcarena;0
GUAIRAPR;PR;Guaira;BARCARENAPA;PA;Barcarena;Barcarena;0
