UF_id;UF;Nome_UF;Nome_Microrregiao;Codigo Municipio Completo;Nome_Municipio;Codigo de Distrito Completo;Nome_Distrito;;;;
13;AM;Amazonas;Alto Solimoes;1300201;Atalaia do Norte;130020105;Atalaia do Norte;;;;
13;AM;Amazonas;Manaus;1300300;Autazes;130030005;Autazes;;;;
13;AM;Amazonas;Manaus;1300300;Autazes;130030010;Murutinga;;;;
13;AM;Amazonas;Rio Negro;1300409;Barcelos;130040905;Barcelos;;;;
13;AM;Amazonas;Parintins;1300508;Barreirinha;130050805;Barreirinha;;;;
13;AM;Amazonas;Parintins;1300508;Barreirinha;130050810;Ariau;;;;
13;AM;Amazonas;Parintins;1300508;Barreirinha;130050812;Cameta;;;;
13;AM;Amazonas;Parintins;1300508;Barreirinha;130050815;Freguesia do Andira;;;;
13;AM;Amazonas;Parintins;1300508;Barreirinha;130050820;Pedras;;;;
13;AM;Amazonas;Alto Solimoes;1300607;Benjamin Constant;130060705;Benjamin Constant;;;;
13;AM;Amazonas;Coari;1300631;Beruri;130063105;Beruri;;;;
13;AM;Amazonas;Parintins;1300680;Boa Vista do Ramos;130068005;Boa Vista do Ramos;;;;
13;AM;Amazonas;Parintins;1300680;Boa Vista do Ramos;130068010;Lago Preto;;;;
13;AM;Amazonas;Parintins;1300680;Boa Vista do Ramos;130068015;Massauari;;;;
13;AM;Amazonas;Boca do Acre;1300706;Boca do Acre;130070605;Boca do Acre;;;;
13;AM;Amazonas;Boca do Acre;1300706;Boca do Acre;130070610;Floriano Peixoto;;;;
13;AM;Amazonas;Madeira;1300805;Borba;130080505;Borba;;;;
13;AM;Amazonas;Madeira;1300805;Borba;130080520;Canuma;;;;
13;AM;Amazonas;Madeira;1300805;Borba;130080525;Axinin;;;;
13;AM;Amazonas;Coari;1300839;Caapiranga;130083905;Caapiranga;;;;
13;AM;Amazonas;Purus;1300904;Canutama;130090405;Canutama;;;;
13;AM;Amazonas;Purus;1300904;Canutama;130090410;Belo Monte;;;;
13;AM;Amazonas;Purus;1300904;Canutama;130090415;Acuanopolis;;;;
13;AM;Amazonas;Jurua;1301001;Carauari;130100105;Carauari;;;;
13;AM;Amazonas;Manaus;1301100;Careiro;130110005;Careiro;;;;
13;AM;Amazonas;Manaus;1301100;Careiro;130110010;Purupuru;;;;
13;AM;Amazonas;Manaus;1301159;Careiro da Varzea;130115905;Careiro da Varzea;;;;
13;AM;Amazonas;Coari;1301209;Coari;130120905;Coari;;;;
13;AM;Amazonas;Coari;1301308;Codajas;130130805;Codajas;;;;
13;AM;Amazonas;Coari;1301308;Codajas;130130810;Badajos;;;;
13;AM;Amazonas;Jurua;1301407;Eirunepe;130140705;Eirunepe;;;;
13;AM;Amazonas;Jurua;1301506;Envira;130150605;Envira;;;;
13;AM;Amazonas;Alto Solimoes;1301605;Fonte Boa;130160505;Fonte Boa;;;;
